Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Pathways in cancer,62/531,3.61E-27,9.28E-25,0,0,6.587717882,401.1013004,RET;ALK;FLT4;LAMC1;FGF1;BRCA2;FGF2;FGF7;CCND2;MECOM;CCND1;RAC3;ELOB;TPM3;HGF;PRKCA;MITF;FOS;TGFBR2;CCNA2;CCNE2;KIT;RARB;PPARG;MET;EPAS1;LAMA1;PDGFA;CXCR4;PTGS2;IL2RG;PLD1;FOXO1;ADCY5;GNG2;TERT;GNG7;ERBB2;E2F1;E2F2;PMAIP1;BAK1;FADD;RXRG;RUNX1T1;STAT5A;STAT5B;ARNT2;TCF7L2;JUN;STAT1;CDKN2A;ESR1;AGT;GADD45G;GNG13;BMP2;IL6;CXCL12;RAD51;FGFR4;FGFR3
Focal adhesion,30/201,1.46E-16,1.88E-14,0,0,8.194462059,298.773482,SHC3;LAMA1;FLT4;PDGFA;LAMC1;MYLK;VTN;CCND2;CCND1;ERBB2;KDR;RAC3;FLNC;PAK3;PAK5;PAK4;VAV3;JUN;VWF;CAV2;HGF;CAV1;PRKCA;PARVA;VAV2;PPP1CA;COL1A1;COL1A2;COL2A1;MET
Transcriptional misregulation in cancer,29/192,3.43E-16,2.94E-14,0,0,8.293534686,295.3268918,PDGFA;SIX1;FOXO1;HOXA10;CCND2;BAK1;RXRG;RUNX1T1;NGFR;ARNT2;MEF2C;CDKN2C;LMO2;HMGA2;PAX3;GZMB;MITF;RUNX2;FLI1;GADD45G;TGFBR2;CCNA2;PER2;IL6;MYCN;WT1;PPARG;ERG;MET
Human T-cell leukemia virus 1 infection,28/219,8.49E-14,5.45E-12,0,0,6.807437819,204.8855829,NRP1;IL2RG;ETS2;ADCY5;CDC20;CCNB2;ZFP36;CCND2;TERT;CCND1;CHEK1;E2F1;E2F2;STAT5A;EGR1;STAT5B;EGR2;JUN;CDKN2C;CDKN2A;FOS;TGFBR2;CCNA2;IL6;CCNE2;LTA;CALR;MAD2L1
MAPK signaling pathway,32/294,1.32E-13,6.81E-12,0,0,5.705561614,169.1834334,FLT4;PDGFA;FGF1;FGF2;RPS6KA3;FGF7;MECOM;STMN1;ERBB2;KDR;RAC3;FLNC;NGFR;MEF2C;JUN;DUSP1;HGF;PLA2G4A;PRKCA;FOS;MAPK8IP2;GADD45G;CDC25B;TGFBR2;NR4A1;EFNA3;KIT;MAPKAPK2;TEK;FGFR4;FGFR3;MET
PI3K-Akt signaling pathway,34/354,8.39E-13,3.59E-11,0,0,4.972551703,138.2703031,LAMA1;FLT4;PDGFA;BRCA1;LAMC1;FGF1;IL2RG;FGF2;VTN;FGF7;CCND2;GNG2;CCND1;GNG7;ERBB2;KDR;NGFR;VWF;HGF;PRKCA;GNG13;COL1A1;NR4A1;EFNA3;IL6;COL1A2;COL2A1;CCNE2;KIT;TEK;SGK1;FGFR4;FGFR3;MET
Ras signaling pathway,27/232,2.32E-12,8.50E-11,0,0,6.096977477,163.3452472,SHC3;FLT4;PDGFA;FGF1;PLD1;FGF2;ETS2;FGF7;GNG2;GNG7;KDR;RAC3;PAK3;PAK5;PAK4;NGFR;HGF;PLA2G2A;PLA2G4A;PRKCA;GNG13;EFNA3;KIT;TEK;FGFR4;FGFR3;MET
Non-small cell lung cancer,16/72,3.63E-12,1.17E-10,0,0,12.98634699,342.0893211,ALK;RET;STAT5A;STAT5B;CDKN2A;HGF;PRKCA;GADD45G;CCND1;ERBB2;E2F1;RARB;E2F2;BAK1;MET;RXRG
Cell cycle,20/124,4.14E-12,1.18E-10,0,0,8.801357466,230.6854193,CDKN2C;CDKN2A;CDC7;PKMYT1;CDC25B;GADD45G;CDC20;CCNA2;CCNB2;CCND2;DBF4;CCND1;CCNE2;CHEK1;E2F1;MCM4;E2F2;E2F5;BUB1;MAD2L1
Rap1 signaling pathway,23/210,3.44E-10,8.19E-09,0,0,5.644929924,123.0100964,VAV3;NGFR;HGF;FLT4;PDGFA;PRKCA;FGF1;FGF2;VAV2;ADCY5;FGF7;EFNA3;PARD6B;KIT;KDR;RAC3;EVL;PRKD1;TEK;FGFR4;FGFR3;MET;SKAP1
