Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	62/531	3.609496839692366E-27	9.276406878009382E-25	0	0	6.587717882055593	401.10130039611107	RET;ALK;FLT4;LAMC1;FGF1;BRCA2;FGF2;FGF7;CCND2;MECOM;CCND1;RAC3;ELOB;TPM3;HGF;PRKCA;MITF;FOS;TGFBR2;CCNA2;CCNE2;KIT;RARB;PPARG;MET;EPAS1;LAMA1;PDGFA;CXCR4;PTGS2;IL2RG;PLD1;FOXO1;ADCY5;GNG2;TERT;GNG7;ERBB2;E2F1;E2F2;PMAIP1;BAK1;FADD;RXRG;RUNX1T1;STAT5A;STAT5B;ARNT2;TCF7L2;JUN;STAT1;CDKN2A;ESR1;AGT;GADD45G;GNG13;BMP2;IL6;CXCL12;RAD51;FGFR4;FGFR3
Focal adhesion	30/201	1.4636702332315636E-16	1.880816249702559E-14	0	0	8.194462058761362	298.7734820235612	SHC3;LAMA1;FLT4;PDGFA;LAMC1;MYLK;VTN;CCND2;CCND1;ERBB2;KDR;RAC3;FLNC;PAK3;PAK5;PAK4;VAV3;JUN;VWF;CAV2;HGF;CAV1;PRKCA;PARVA;VAV2;PPP1CA;COL1A1;COL1A2;COL2A1;MET
Transcriptional misregulation in cancer	29/192	3.4283197800746104E-16	2.936927278263916E-14	0	0	8.293534686172723	295.32689177348897	PDGFA;SIX1;FOXO1;HOXA10;CCND2;BAK1;RXRG;RUNX1T1;NGFR;ARNT2;MEF2C;CDKN2C;LMO2;HMGA2;PAX3;GZMB;MITF;RUNX2;FLI1;GADD45G;TGFBR2;CCNA2;PER2;IL6;MYCN;WT1;PPARG;ERG;MET
Human T-cell leukemia virus 1 infection	28/219	8.489914044629552E-14	5.4547697736744876E-12	0	0	6.807437819378006	204.88558287006197	NRP1;IL2RG;ETS2;ADCY5;CDC20;CCNB2;ZFP36;CCND2;TERT;CCND1;CHEK1;E2F1;E2F2;STAT5A;EGR1;STAT5B;EGR2;JUN;CDKN2C;CDKN2A;FOS;TGFBR2;CCNA2;IL6;CCNE2;LTA;CALR;MAD2L1
MAPK signaling pathway	32/294	1.3247643134198867E-13	6.809288570978217E-12	0	0	5.705561613958561	169.1834334032607	FLT4;PDGFA;FGF1;FGF2;RPS6KA3;FGF7;MECOM;STMN1;ERBB2;KDR;RAC3;FLNC;NGFR;MEF2C;JUN;DUSP1;HGF;PLA2G4A;PRKCA;FOS;MAPK8IP2;GADD45G;CDC25B;TGFBR2;NR4A1;EFNA3;KIT;MAPKAPK2;TEK;FGFR4;FGFR3;MET
PI3K-Akt signaling pathway	34/354	8.388789420050796E-13	3.593198134921758E-11	0	0	4.972551703163017	138.27030310664216	LAMA1;FLT4;PDGFA;BRCA1;LAMC1;FGF1;IL2RG;FGF2;VTN;FGF7;CCND2;GNG2;CCND1;GNG7;ERBB2;KDR;NGFR;VWF;HGF;PRKCA;GNG13;COL1A1;NR4A1;EFNA3;IL6;COL1A2;COL2A1;CCNE2;KIT;TEK;SGK1;FGFR4;FGFR3;MET
Ras signaling pathway	27/232	2.3159890194761282E-12	8.502988257219499E-11	0	0	6.096977476951803	163.3452472420387	SHC3;FLT4;PDGFA;FGF1;PLD1;FGF2;ETS2;FGF7;GNG2;GNG7;KDR;RAC3;PAK3;PAK5;PAK4;NGFR;HGF;PLA2G2A;PLA2G4A;PRKCA;GNG13;EFNA3;KIT;TEK;FGFR4;FGFR3;MET
Non-small cell lung cancer	16/72	3.6284026490719483E-12	1.1656243510143633E-10	0	0	12.986346986346986	342.08932107218453	ALK;RET;STAT5A;STAT5B;CDKN2A;HGF;PRKCA;GADD45G;CCND1;ERBB2;E2F1;RARB;E2F2;BAK1;MET;RXRG
Cell cycle	20/124	4.140481340037785E-12	1.182337449321901E-10	0	0	8.80135746606335	230.68541927775706	CDKN2C;CDKN2A;CDC7;PKMYT1;CDC25B;GADD45G;CDC20;CCNA2;CCNB2;CCND2;DBF4;CCND1;CCNE2;CHEK1;E2F1;MCM4;E2F2;E2F5;BUB1;MAD2L1
Rap1 signaling pathway	23/210	3.4369961670113157E-10	8.185317507926601E-9	0	0	5.6449299237144235	123.01009640186264	VAV3;NGFR;HGF;FLT4;PDGFA;PRKCA;FGF1;FGF2;VAV2;ADCY5;FGF7;EFNA3;PARD6B;KIT;KDR;RAC3;EVL;PRKD1;TEK;FGFR4;FGFR3;MET;SKAP1
Chemokine signaling pathway	22/192	3.503443291330452E-10	8.185317507926601E-9	0	0	5.9306077040745375	129.12181155658055	VAV3;CCL14;STAT5B;CCL13;SHC3;CCL21;STAT1;CXCR4;GNG13;VAV2;ADCY5;CXCL10;GRK3;CXCL12;GNG2;GRK5;GNG7;CXCR2;RAC3;CCL2;CCL19;CCL16
Complement and coagulation cascades	15/85	5.555972583337553E-10	1.1899041282647927E-8	0	0	9.710132890365449	206.93242296272723	CR1;VWF;SERPINC1;PROS1;F12;PLAUR;F13A1;C4B;C3;C4A;VTN;PROC;SERPING1;A2M;F2RL2
AGE-RAGE signaling pathway in diabetic complications	16/100	6.707826996370713E-10	1.3260857985132871E-8	0	0	8.645132645132644	182.60747026315056	STAT5A;EGR1;STAT5B;JUN;STAT1;PRKCA;SELE;FOXO1;AGT;TGFBR2;COL1A1;IL6;COL3A1;COL1A2;CCND1;CCL2
Breast cancer	19/147	7.292914378405253E-10	1.3387707108929643E-8	0	0	6.769237822769953	142.41764042904612	TCF7L2;JUN;SHC3;FLT4;BRCA1;FOS;FGF1;BRCA2;FGF2;ESR1;GADD45G;FGF7;CCND1;KIT;ERBB2;E2F1;TNFSF11;E2F2;BAK1
Pancreatic cancer	14/76	1.1621330353251907E-9	1.979089956291811E-8	0	0	10.21263378489634	210.10460367429712	CDKN2A;STAT1;BRCA2;PLD1;TGFBR2;GADD45G;RAD51;CCND1;ERBB2;E2F1;RAC3;E2F2;BAK1;ARHGEF6
Proteoglycans in cancer	22/205	1.2321182607264195E-9	1.979089956291811E-8	0	0	5.505613042411089	112.94506935322472	VAV3;CAV2;HGF;CAV1;PLAUR;PRKCA;HOXD10;FGF2;ESR1;DCN;VAV2;PPP1CA;COL1A1;VTN;COL1A2;CCND1;ERBB2;KDR;SDC1;FLNC;EZR;MET
Kaposi sarcoma-associated herpesvirus infection	21/193	2.2887446124638577E-9	3.460043325901244E-8	0	0	5.5814364853005705	111.0441432981086	TCF7L2;JUN;STAT1;FOS;PTGS2;FGF2;GNG13;C3;RCAN1;ZFP36;IL6;GNG2;CCND1;GNG7;MAPKAPK2;IRF7;E2F1;E2F2;FADD;BAK1;IKBKE
Calcium signaling pathway	23/240	4.714407680335649E-9	6.731126521368121E-8	0	0	4.856989975320506	93.12133268170159	RET;PDE1A;HGF;FLT4;PDGFA;CXCR4;PRKCA;ADRB1;ADRB2;GRIN2C;FGF1;FGF2;ADRA1A;MYLK;GRIN2D;FGF7;ITPKA;ERBB2;KDR;CAMK1;FGFR4;FGFR3;MET
Melanoma	13/72	5.918708032894902E-9	7.886208308441948E-8	0	0	9.943816698053986	188.38707554473805	CDKN2A;HGF;PDGFA;MITF;FGF1;FGF2;GADD45G;FGF7;CCND1;E2F1;E2F2;BAK1;MET
