Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Pathways in cancer,31/531,1.544068281953706E-15,3.41239090311769E-13,0,0,7.166011976047904,244.39222152651354,EPAS1;LAMA4;LAMA3;CXCR4;PIK3R1;LAMC1;EGFR;FOXO1;GNG2;CCND2;CCND1;E2F2;ELOB;FADD;STAT5A;STAT5B;TCF7L2;JUN;FZD4;STAT1;TPM3;ZBTB16;HGF;FOS;ESR1;TGFBR2;CXCL12;KIT;PPARG;FGFR3;MET
Focal adhesion,18/201,1.6094853333949264E-12,1.7784812934013937E-10,0,0,10.720765027322404,291.12351775874413,JUN;VWF;CAV2;HGF;CAV1;LAMA4;LAMA3;PARVA;PIK3R1;LAMC1;EGFR;MYLK;COL1A2;CCND2;CCND1;KDR;SPP1;MET
PI3K-Akt signaling pathway,22/354,7.841690455662326E-12,5.776711969004581E-10,0,0,7.330572289156627,187.4542181347836,VWF;HGF;LAMA4;LAMA3;PIK3R1;LAMC1;EGFR;EFNA1;GHR;NR4A1;COL1A2;GNG2;CCND2;CCND1;PPP2R1B;KIT;KDR;SPP1;SGK1;TLR4;FGFR3;MET
Proteoglycans in cancer,16/205,2.297452799676112E-10,1.2693426718210519E-8,0,0,9.122855979998837,202.4731208425284,FZD4;CAV2;HGF;CAV1;ANK2;PIK3R1;ESR1;EGFR;DCN;COL1A2;CCND1;PLAU;KDR;EZR;TLR4;MET
AGE-RAGE signaling pathway in diabetic complications,11/100,4.454326007695626E-9,1.9541249795677618E-7,0,0,13.029081295439525,250.54128656747474,STAT5A;EGR1;STAT5B;JUN;COL1A2;CCND1;STAT1;CCL2;PIK3R1;FOXO1;TGFBR2
Human papillomavirus infection,18/331,5.701734672359736E-9,1.9541249795677618E-7,0,0,6.226517571884984,118.19484104129904,TCF7L2;MAML2;VWF;FZD4;STAT1;LAMA4;LAMA3;PIK3R1;LAMC1;EGFR;FOXO1;PARD6B;COL1A2;CCND2;CCND1;PPP2R1B;SPP1;FADD
MAPK signaling pathway,17/294,6.189536134377526E-9,1.9541249795677618E-7,0,0,6.620360213016335,125.1274938463081,JUN;MEF2C;DUSP1;HGF;FOS;EGFR;CDC25B;TGFBR2;EFNA1;NR4A1;RPS6KA3;KIT;MAPKAPK2;KDR;MAP3K20;FGFR3;MET
JAK-STAT signaling pathway,13/162,8.437830528858331E-9,2.330950683597114E-7,0,0,9.268601487393434,172.3083123282026,STAT5A;STAT5B;STAT1;FHL1;LIFR;PIK3R1;EGFR;GHR;SOCS3;CCND2;CCND1;LEP;LEPR
Fluid shear stress and atherosclerosis,12/139,1.4107465443984798E-8,3.464166514578489E-7,0,0,9.99491998983998,180.6737880384923,CDH5;MEF2C;JUN;CAV2;DUSP1;CAV1;KDR;PECAM1;CCL2;PIK3R1;FOS;BMPR1B
Prolactin signaling pathway,9/70,2.9401758056364662E-8,6.497788530456591E-7,0,0,15.410616705698672,267.2541721991754,STAT5A;SOCS3;STAT5B;CCND2;CCND1;STAT1;FOS;PIK3R1;ESR1
