Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Breast Carcinoma,277/4963,4.476353091672883E-64,3.006318736367508E-60,0,0,5.231785917525354,763.1430187516985,CYFIP2;CBLC;UBE2L6;ENO2;MKI67;ANTXR2;MYLK;AQP1;EPS8;CDC20;C4B;RPS6KA3;C4A;DPYSL2;STMN1;CHEK1;KDR;RCC1;TNFSF11;TNS1;PRKCA;KRT5;SOX10;RUNX2;BIN1;FEZ1;TXNIP;COL8A1;PRKD1;EZR;ZFPM2;ATF3;EPAS1;USHBP1;PDGFA;GATA4;GATA3;C3;PPP4C;TERT;RACGAP1;FADD;A2M;PPARGC1A;BARD1;PLK4;STAT5A;NGFR;NFE2;STAT5B;EGR1;JUN;SIAH2;SH2D1A;CDC7;FLI1;GADD45G;COL1A1;GIPC2;SDC1;PAEP;CALR;TDGF1;EZH2;RET;NRP1;FEN1;BRCA1;BRCA2;AKAP12;CHAF1A;MECOM;CTLA4;RAC3;SOSTDC1;ELOB;TK1;TIMP1;CD36;IKBKE;TEAD1;NEFH;CEP55;VAV3;ANXA1;PARP1;DUSP1;ANXA3;BGN;IL18;NME3;FOS;PROX1;KIF22;TUBG1;PAX2;SYN1;VAV2;MMP14;NR5A2;TAL1;KIT;RARB;PPARG;PPARA;SGK1;ALDOA;CRYAB;CCL14;PRKN;YAP1;SATB1;CXCR4;ASCL1;PTGS2;HOXD10;CXCR2;CCL19;CCL16;PAK5;RUNX1T1;RIBC2;PAK4;CA12;ARNT2;CDKN2C;CCL21;STAT1;CDKN2A;AGT;PPP1CA;PER2;CENPF;KRT19;WT1;KRT15;CAMK1;CDKN3;MAD2L1;RAB3A;CTNND2;PROS1;IRS2;CIB1;FGF1;FGF2;ETS2;RIMS2;HOXA10;CDH5;ZFP36;FGF7;CCND2;CCND1;CFL1;RUVBL1;LEPR;SIRPA;NEK2;KPNA2;PITX1;TLE4;CISH;HGF;LMO2;LIFR;CDC25B;MELK;MYCN;CCNE2;FANCD2;ADAM12;S100A4;PRTN3;ERG;FKBP4;UTRN;FBN2;BLM;SHC3;ADRB1;ADRB2;PKMYT1;PLD1;FBLN2;FOXO1;SOCS3;VTN;CCNB2;GRK3;NDN;PMAIP1;OTX1;ZNF423;CBX4;CAV2;CAV1;LSM1;FANCA;HMGA1;HMGA2;BMX;ESR1;SELE;NDC80;GFAP;CXCL10;NR4A1;BMP2;EFNA3;IL6;CXCL12;BCL3;BMPR1B;FGFR4;FGFR3;ALK;GPSM2;FLT4;SIX1;SLC2A4;PKD2;ADRA1A;SYNE1;RND1;ALDH2;MDK;SIX2;CR1;DST;VWF;PLAUR;PLA2G4A;SSTR2;DCN;TGFBR2;CCNA2;ACTA2;DNAJC1;VCAN;ELF5;PECAM1;IRF7;LTA;EVL;MET;LRP1;SEMA3F;IL2RG;DEPP1;AURKA;MUC1;ERBB2;E2F1;S1PR1;REPS2;E2F2;CCL2;SNCG;BAK1;E2F5;MEST;BUB1;PDLIM4;TCF7L2;CMA1;TRAT1;PLA2G2A;GZMB;KLF4;MAPK15;RAD51;PRC1;SPRY2;VIM;TEK;NECTIN3
Neoplasm Metastasis,245/3920,3.366493875183709E-63,1.1304686432866896E-59,0,0,5.293333333333333,761.440648699192,MAML2;ENO2;MKI67;ANTXR2;MYLK;AQP1;CDC20;RPS6KA3;STMN1;CHEK1;KDR;TNFSF11;SOX5;TNS1;PRKCA;KRT5;SOX10;RUNX2;BIN1;TXNIP;PRKD1;EZR;ATF3;SKAP2;MAGED1;EPAS1;PDGFA;GATA4;GATA3;PPP4C;TERT;RACGAP1;FADD;A2M;PPARGC1A;PLK4;STAT5A;NGFR;STAT5B;EGR1;JUN;SIAH2;SH2D1A;FLI1;GADD45G;COL1A1;COL1A2;SDC1;PAEP;CALR;TDGF1;EZH2;RET;NRP1;FEN1;BRCA1;BRCA2;AKAP12;CHAF1A;CTLA4;RAC3;SOSTDC1;TIMP1;CD36;IKBKE;TEAD1;CEP55;VAV3;ANXA1;PARP1;DUSP1;BGN;IL18;PAX3;NME3;FOS;PROX1;KIF22;SYP;PAX2;VAV2;MMP14;NR5A2;TAL1;KIT;RARB;PPARG;PPARA;ALDOA;CRYAB;CCL14;PRKN;YAP1;SATB1;CXCR4;PTGS2;HOXD10;CXCR2;DMD;FLNC;CCL19;RXRG;PAK5;RUNX1T1;PAK4;CA12;CDKN2C;CCL21;STAT1;CDKN2A;AGT;PPP1CA;PER2;COL3A1;CENPF;KRT19;WT1;SAA1;F2RL2;CDKN3;MAD2L1;CTNND2;PROS1;IRS2;CIB1;FGF1;FGF2;ETS2;RIMS2;HOXA10;CDH5;ZFP36;FGF7;CCND2;CCND1;CFL1;LEPR;SIRPA;CAPN3;KPNA2;CISH;HGF;LMO2;TAP1;MITF;LIFR;CDC25B;MYCN;CCNE2;FANCD2;ADAM12;S100A4;ERG;FKBP4;UTRN;FBN2;BLM;ADRB2;PLD1;FBLN2;FOXO1;SOCS3;VTN;CCNB2;GRK3;GRK5;NDN;ECT2;CBX4;CAV2;CAV1;CCDC136;CBX2;HMGA1;HMGA2;INHBA;BMX;ESR1;SELE;GFAP;CXCL10;RCAN1;NR4A1;BMP2;EFNA3;IL6;CXCL12;BCL3;CNTN1;FGFR4;FGFR3;ALK;GPSM2;FLT4;SIX1;PKD2;ADRA1A;SYNE1;RND1;MDK;SIX2;SIX3;KLF11;CR1;VWF;PLAUR;PLA2G4A;SSTR2;DCN;TGFBR2;CCNA2;ACTA2;VCAN;ELF5;PECAM1;IRF7;LTA;EVL;MET;LRP1;SEMA3F;IL2RG;AURKA;ACAN;CLEC3B;MUC1;SH3BP1;ERBB2;E2F1;S1PR1;E2F2;CCL2;SNCG;BAK1;BUB1;PPP1R14A;TCF7L2;CMA1;PLA2G2A;GZMB;KLF4;RAD51;VIM;TEK;NECTIN3
Malignant neoplasm of breast,268/5054,4.566318259191937E-56,1.022246447624435E-52,0,0,4.672399016906656,595.3853879406819,CYFIP2;CBLC;UBE2L6;MKI67;ANTXR2;MYLK;AQP1;EPS8;CDC20;C4B;RPS6KA3;C4A;STMN1;CHEK1;KDR;RCC1;TNFSF11;TNS1;RFX2;PRKCA;KRT5;SOX10;RUNX2;BIN1;FEZ1;TXNIP;PRKD1;EZR;ATF3;EPAS1;PDGFA;GATA4;GATA3;C3;DSN1;PPP4C;TERT;RACGAP1;FADD;A2M;PPARGC1A;BARD1;PLK4;STAT5A;NGFR;STAT5B;EGR1;JUN;SIAH2;SH2D1A;CDC7;FLI1;GRIN2D;GADD45G;COL1A1;GIPC2;SDC1;PAEP;CALR;TDGF1;EZH2;RET;NRP1;FEN1;BRCA1;BRCA2;AKAP12;CHAF1A;MECOM;CTLA4;RAC3;SOSTDC1;TK1;TIMP1;CD36;IKBKE;NEFH;VAV3;ANXA1;PARP1;DUSP1;ANXA3;BGN;IL18;FOS;PROX1;KIF22;TUBG1;PAX2;SYN1;VAV2;MMP14;NR5A2;TAL1;KIT;RARB;PPARG;PPARA;SGK1;ALDOA;CRYAB;CCL14;PRKN;YAP1;SATB1;CXCR4;ASCL1;PTGS2;HOXD10;CXCR2;DMD;CCL19;CCL16;PAK5;RUNX1T1;RIBC2;PAK4;CA12;ARNT2;CDKN2C;CCL21;STAT1;CDKN2A;AGT;PPP1CA;PER2;CENPF;KRT19;WT1;CAMK1;F2RL2;CDKN3;MAD2L1;RAB3A;CTNND2;PROS1;IRS2;CIB1;FGF1;FGF2;ETS2;RIMS2;HOXA10;CDH5;ZFP36;FGF7;CCND2;CCND1;CFL1;RUVBL1;LEPR;SIRPA;NEK2;KPNA2;PITX1;TLE4;CISH;HGF;LMO2;LIFR;CDC25B;MELK;MYCN;CCNE2;FANCD2;ADAM12;S100A4;PRTN3;ERG;FKBP4;UTRN;BLM;SHC3;ADRB1;ADRB2;PKMYT1;PLD1;FBLN2;FOXO1;SOCS3;VTN;CCNB2;GRK3;NDN;PMAIP1;OTX1;ZNF423;ECT2;CAV2;CAV1;LSM1;FANCA;HMGA1;HMGA2;BMX;ESR1;SELE;NDC80;GFAP;CXCL10;NR4A1;BMP2;EFNA3;IL6;CXCL12;BCL3;BMPR1B;FGFR4;FGFR3;ALK;GPSM2;FLT4;SIX1;SLC2A4;ADRA1A;SYNE1;RND1;ALDH2;MDK;SIX2;CR1;RFC4;DST;VWF;PLAUR;PLA2G4A;SSTR2;DCN;TGFBR2;CCNA2;ACTA2;VCAN;ELF5;PECAM1;IRF7;LTA;EVL;MET;LRP1;SEMA3F;IL2RG;DEPP1;AURKA;MUC1;ERBB2;E2F1;S1PR1;REPS2;E2F2;CCL2;SNCG;BAK1;E2F5;BUB1;PDLIM4;TCF7L2;CMA1;TRAT1;PLA2G2A;GZMB;KLF4;MAPK15;RAD51;PRC1;SPRY2;VIM;TEK;NECTIN3
Mammary Neoplasms,180/2387,3.720225565257309E-54,6.246258724067021E-51,0,0,5.339169537748672,656.855660949907,IRS2;CIB1;FGF1;MKI67;ANTXR2;FGF2;ETS2;MYLK;AQP1;EPS8;RIMS2;CDH5;RPS6KA3;ZFP36;FGF7;CCND2;CCND1;STMN1;CFL1;CHEK1;LEPR;KDR;TNFSF11;KPNA2;CISH;HGF;PRKCA;LIFR;KRT5;RUNX2;CDC25B;SIGIRR;MELK;CCNE2;BIN1;FANCD2;MAPKAPK2;ADAM12;S100A4;PRKD1;UTRN;EZR;ATF3;BLM;EPAS1;PDGFA;GATA4;GATA3;PLD1;FOXO1;SOCS3;VTN;TERT;RACGAP1;NDN;FADD;APOB;PPARGC1A;BARD1;STAT5A;NGFR;STAT5B;EGR1;CDT1;JUN;CAV2;SIAH2;CAV1;LSM1;HMGA1;HMGA2;BMX;ESR1;SELE;NDC80;COL1A1;CXCL10;NR4A1;PYY;PTPRB;BMP2;IL6;COL1A2;CXCL12;BCL3;SDC1;PAEP;FGFR4;TDGF1;FGFR3;EZH2;RET;ALK;NRP1;FEN1;SIX1;BRCA1;BRCA2;SYNE1;RND1;AKAP12;CHAF1A;MECOM;MDK;CTLA4;RAC3;TIMP1;CD36;IKBKE;VAV3;ANXA1;RFC4;VWF;PARP1;DUSP1;PLAUR;PLA2G4A;FOS;PROX1;PAX2;DCN;TGFBR2;CCNA2;ACTA2;MMP14;VCAN;NR5A2;KIT;LTA;RARB;PPARG;EVL;PPARA;SGK1;ALDOA;CRYAB;MET;PRKN;YAP1;LRP1;SATB1;CXCR4;SEMA3F;PTGS2;HOXD10;DEPP1;RAD54B;AURKA;MUC1;CXCR2;ERBB2;E2F1;REPS2;E2F2;CCL2;SNCG;E2F5;MEST;RIBC2;CA12;ARNT2;TCF7L2;CCL21;STAT1;CDKN2A;CMA1;GZMB;KLF4;MAPK15;AGT;PPP1CA;PER2;CENPF;KRT19;RAD51;WT1;PRC1;VIM;TEK;MAD2L1
Tumor Progression,161/2090,1.1523287802459346E-48,1.5478080176263393E-45,0,0,5.179991822370198,571.7794089652937,CYFIP2;PROS1;IRS2;CIB1;FGF1;FGF2;ETS2;EPS8;RIMS2;CDC20;HOXA10;RPS6KA3;ZFP36;CCND2;CCND1;STMN1;CFL1;CHEK1;LEPR;KDR;TNFSF11;NEK2;KPNA2;SOX5;CISH;TPM3;HGF;LMO2;MITF;RUNX2;MYCN;BIN1;ADAM12;S100A4;PRTN3;ERG;EZR;ATF3;EPAS1;PDGFA;GATA4;GATA3;PLD1;PPL;SOCS3;VTN;PPP4C;TERT;RACGAP1;PMAIP1;ECT2;BARD1;PLK4;STAT5A;NGFR;STAT5B;EGR1;JUN;CAV2;SIAH2;CAV1;HMGA1;HMGA2;CDC7;INHBA;ESR1;SELE;FLI1;GFAP;GADD45G;CXCL10;NR4A1;BMP2;IL6;CXCL12;SDC1;CALR;FGFR4;TDGF1;FGFR3;EZH2;RET;ALK;NRP1;FEN1;FLT4;SIX1;BRCA1;LAMC1;BRCA2;ADRA1A;AKAP12;CHAF1A;MDK;CTLA4;RAC3;SOSTDC1;TIMP1;IKBKE;NEFH;CEP55;VAV3;ANXA1;VWF;PARP1;DUSP1;ANXA3;BGN;IL18;PLAUR;PLA2G4A;FOS;PROX1;SSTR2;DCN;TGFBR2;MMP14;VCAN;NR5A2;ELF5;KIT;IRF7;RARB;PPARG;PPARA;SGK1;MET;PRKN;YAP1;LRP1;SATB1;CXCR4;SEMA3F;PTGS2;HOXD10;AURKA;MUC1;CXCR2;ERBB2;E2F1;CCL2;SNCG;DMD;BUB1;PDLIM4;PAK4;CA12;STAT1;CDKN2A;CMA1;GZMB;KLF4;AGT;CENPF;KRT19;RAD51;WT1;SAA1;VIM;CDKN3;MAD2L1
Liver carcinoma,212/3593,1.0368911699824575E-47,1.1606268496003641E-44,0,0,4.352634578742861,470.89095753266304,MKI67;CDC20;C4B;RPS6KA3;STMN1;CHEK1;KDR;TNFSF11;TNS1;MEF2C;PRKCA;KRT5;SOX10;RUNX2;BIN1;SERPING1;TXNIP;PRKD1;EZR;ATF3;EPAS1;PDGFA;C3;TERT;RACGAP1;FADD;A2M;APOB;PPARGC1A;PLK4;STAT5A;NGFR;STAT5B;EGR1;JUN;EGR2;SIAH2;GADD45G;COL1A1;COL1A2;SDC1;PAEP;CALR;EZH2;RET;NRP1;FEN1;BRCA1;BRCA2;AKAP12;MECOM;CTLA4;SOSTDC1;ELOB;TIMP1;CD36;IKBKE;TEAD1;NEFH;CEP55;CCT3;ANXA1;PARP1;DUSP1;ANXA3;BGN;IL18;FOS;PROX1;KIF22;MMP14;KIT;RARB;PPARG;PPARA;SGK1;CRYAB;MATN2;CCL14;PRKN;YAP1;SERPINC1;SATB1;CXCR4;PTGS2;HOXD10;CXCR2;CCL19;CCL16;PAK5;PAK4;ARNT2;CDKN2C;CCL21;STAT1;CDKN2A;AGT;PPP1CA;PER2;KRT19;WT1;SAA1;F2RL2;CDKN3;MAD2L1;CHPF;IRS2;CIB1;FGF1;FGF2;ETS2;RIMS2;ZFP36;FGF7;CCND2;CCND1;LEPR;NEK2;KPNA2;PITX1;CISH;TPM3;HGF;TAP1;MITF;LIFR;CDC25B;MELK;MYCN;CCNE2;FANCD2;ADAM12;S100A4;FKBP4;ADRB2;PKMYT1;FOXO1;SOCS3;VTN;PMAIP1;ECT2;CBX4;CAV1;HMGA1;HMGA2;INHBA;BMX;ESR1;SELE;NDC80;GFAP;VIL1;CXCL10;NR4A1;BMP2;EFNA3;IL6;CXCL12;PROC;FGFR4;FGFR3;ALK;GPSM2;FLT4;SIX1;FHL5;SLC2A4;LAMC1;PKD2;ADRA1A;SYNE1;LMNB1;RND1;ALDH2;MDK;RFC4;TRIM63;PLAUR;PLA2G4A;SSTR2;DCN;TGFBR2;CCNA2;VCAN;PECAM1;LTA;MET;HLF;LRP1;AURKA;CLEC3B;MUC1;SH3BP1;ERBB2;E2F1;S1PR1;E2F2;CCL2;SNCG;BAK1;E2F5;MEST;BUB1;PDLIM4;TCF7L2;TRAT1;PLA2G2A;KLF4;RAD51;SPRY2;VIM;TEK
Ovarian Carcinoma,162/2203,2.614178571352859E-46,2.5081176121722574E-43,0,0,4.912142076824393,515.5684329883928,CYFIP2;CTNND2;PROS1;IRS2;CIB1;FGF1;MKI67;FGF2;ETS2;AQP1;EPS8;RIMS2;HOXA10;RPS6KA3;FGF7;CCND2;CCND1;STMN1;RUVBL1;CHEK1;LEPR;KDR;SIRPA;NEK2;HGF;PRKCA;LIFR;KRT5;MAPK8IP2;RUNX2;MYCN;CCNE2;FANCD2;ADAM12;S100A4;ATF3;SKAP1;FBN2;BLM;EPAS1;PDGFA;GATA4;ADRB1;FOXO1;C3;VTN;TERT;NDN;PMAIP1;FADD;BARD1;STAT5A;NGFR;STAT5B;EGR1;CDT1;JUN;CAV1;FANCA;HMGA1;HMGA2;CDC7;INHBA;ESR1;SELE;NDC80;BMP2;IL6;CXCL12;GIPC2;BCL3;SDC1;PAEP;CALR;BMPR1B;FGFR4;TDGF1;EZH2;ALK;NRP1;FEN1;FLT4;SIX1;FHL5;BRCA1;SLC2A4;BRCA2;SYNE1;AKAP12;CHAF1A;MECOM;ALDH2;MDK;CTLA4;TIMP1;IKBKE;TEAD1;NEFH;CEP55;VAV3;KLF11;DST;PARP1;DUSP1;ANXA3;IL18;PLAUR;PLA2G4A;FOS;KIF22;PAX2;DCN;TGFBR2;CCNA2;MMP14;VCAN;COL2A1;ELF5;KIT;PECAM1;RARB;PPARG;PPARA;SGK1;CRYAB;MET;PRKN;YAP1;LRP1;CXCR4;PTGS2;IL2RG;HOXD10;AURKA;MUC1;CXCR2;ERBB2;E2F1;E2F2;CCL2;SNCG;CCL19;BAK1;E2F5;MEST;RUNX1T1;PAK4;TCF7L2;STAT1;CDKN2A;PLA2G2A;GZMB;SNCAIP;KLF4;AGT;RAD51;WT1;VIM;TEK;NECTIN2;CDKN3;MAD2L1
Glioblastoma,149/1937,2.0468826727035493E-44,1.7183580037346297E-41,0,0,5.0019707207207205,503.18537994910895,CTNND2;ITSN1;FAM107A;IRS2;CIB1;ENO2;MKI67;FGF2;ETS2;AQP1;EPS8;CDC20;HOXA10;CDH5;ZFP36;FGF7;CCND2;CCND1;LEPR;KDR;SIRPA;KPNA2;TNS2;TNS1;TPM3;HGF;LMO2;TAP1;PRKCA;LIFR;RUNX2;CDC25B;MELK;MYCN;MAPKAPK2;ADAM12;S100A4;PRKD1;EZR;ATF3;GRIA2;SHC3;EPAS1;PDGFA;DTX1;GATA3;PKMYT1;FOXO1;SOCS3;VTN;GRK3;TERT;NDN;FADD;ECT2;GRIA4;STAT5A;STAT5B;EGR1;JUN;CAV2;CAV1;HMGA1;HMGA2;BMX;ESR1;SYT7;GFAP;CXCL10;RCAN1;NR4A1;BMP2;IL6;CXCL12;PAEP;AMOTL2;CALR;BMPR1B;FGFR4;TDGF1;FGFR3;EZH2;ALK;NRP1;FLT4;FHL5;BRCA1;LAMC1;BRCA2;PKD2;ADRA1A;CHAF1A;MDK;SIX3;CTLA4;TK1;TIMP1;CD36;IKBKE;TEAD1;VAV3;ANXA1;RFC4;PARP1;DUSP1;PLAUR;NME3;FOS;SYP;DCN;TGFBR2;CCNA2;MMP14;KIT;PECAM1;IRF7;PPARG;PPARA;SGK1;CRYAB;MET;PRKN;YAP1;LRP1;LAMA1;CXCR4;ASCL1;PTGS2;DEPP1;AURKA;CXCR2;ERBB2;E2F1;S1PR1;CCL2;BAK1;BUB1;PAK4;CDKN2C;STAT1;CDKN2A;CMA1;KLF4;AGT;PPP1CA;RAD51;WT1;VIM;CDKN3
Malignant tumor of colon,151/2001,4.620411041589487E-44,3.4478533950349993E-41,0,0,4.915342893914323,490.46894003980657,CYFIP2;IRS2;CIB1;FGF1;MKI67;FGF2;ETS2;AQP1;EPS8;RIMS2;RPS6KA3;ZFP36;FGF7;CCND2;CCND1;CFL1;RUVBL1;CHEK1;LEPR;KDR;KPNA2;CISH;TPM3;HGF;TAP1;PRKCA;MITF;LIFR;RUNX2;SIGIRR;MYCN;CCNE2;BIN1;S100A4;PRKD1;EZR;ATF3;FBN2;EPAS1;GATA4;PLD1;FOXO1;C3;SOCS3;TERT;GRK5;A2M;PPARGC1A;BARD1;PLK4;STAT5A;EGR1;JUN;CAV1;HMGA1;HMGA2;ESR1;SELE;FLI1;CXCL10;NR4A1;BMP2;IL6;CXCL12;SDC1;PAEP;AMOTL2;CALR;FGFR4;TDGF1;FGFR3;EZH2;RET;ALK;NRP1;FLT4;BRCA1;SLC2A4;BRCA2;PKD2;LMNB1;CHAF1A;MECOM;MDK;TIMP1;CD36;PARP1;BGN;IL18;PLAUR;PLA2G4A;FOS;PROX1;KIF22;SSTR2;PAX2;DCN;TGFBR2;CCNA2;ACTA2;MMP14;COL2A1;NR5A2;KIT;RHOJ;RARB;PPARG;PPARA;CRYAB;MET;PRKN;YAP1;LAMA1;CXCR4;SEMA3F;PTGS2;IL2RG;RAD54B;AURKA;ACAN;CLEC3B;MUC1;CXCR2;ERBB2;E2F1;CCL2;BAK1;MEST;RXRG;BUB1;PDLIM4;PAK5;RUNX1T1;PAK4;TCF7L2;CCL21;STAT1;CDKN2A;PLA2G2A;KLF4;PER2;KRT19;RAD51;NPHS1;WT1;PRC1;SAA1;SPRY2;VIM;TEK;CDKN3
Carcinogenesis,220/4065,1.1474276709024847E-43,7.706124237781087E-41,0,0,3.9950296199971103,395.0031059336602,MAML2;ITSN1;MKI67;AQP1;EPS8;CDC20;RPS6KA3;DPYSL2;STMN1;CHEK1;KDR;TNFSF11;TNS1;PRKCA;KRT5;SOX10;RUNX2;TXNIP;COL8A1;PRKD1;EZR;ATF3;MAGED1;EPAS1;PDGFA;GATA4;GATA3;PPL;TERT;PRKAR2B;FADD;PPARGC1A;BARD1;STAT5A;NGFR;STAT5B;EGR1;CDT1;JUN;SIAH2;CDC7;FLI1;GADD45G;COL1A2;SDC1;PAEP;CALR;TDGF1;EZH2;RET;NRP1;FEN1;BRCA1;BRCA2;AKAP12;CHAF1A;MECOM;CTLA4;RAC3;SOSTDC1;ELOB;TIMP1;CD36;IKBKE;TEAD1;CEP55;ANXA1;PARP1;DUSP1;ANXA3;BGN;IL18;PAX3;FOS;PROX1;PAX2;VAV2;MMP14;COL2A1;NR5A2;TAL1;KIT;RARB;PPARG;PPARA;SGK1;CRYAB;PRKN;YAP1;SATB1;CXCR4;ASCL1;PTGS2;CXCR2;CCL19;RXRG;PAK5;RUNX1T1;RIBC2;CDKN2C;CCL21;STAT1;CDKN2A;SORBS2;AGT;PER2;KRT19;WT1;RAMP1;F2RL2;CDKN3;MAD2L1;CTNND2;IRS2;CIB1;FGF1;FGF2;ETS2;RIMS2;HOXA10;ZFP36;FGF7;CCND2;CCND1;RUVBL1;LEPR;NEK2;KPNA2;PITX1;CISH;HGF;LMO2;TAP1;MITF;LIFR;CDC25B;MELK;MYCN;CCNE2;FANCD2;MAPKAPK2;S100A4;ERG;FKBP4;COL17A1;FBN2;BLM;ADRB2;PLD1;FOXO1;SPTA1;SOCS3;VTN;CCNB2;CAV2;CAV1;FANCA;HMGA1;HMGA2;ESR1;QKI;NDC80;GFAP;CXCL10;RCAN1;NR4A1;PTPRB;BMP2;EFNA3;IL6;CXCL12;BCL3;FGFR4;FGFR3;ALK;GPSM2;FLT4;SIX1;SLC2A4;ADRA1A;ALDH2;MDK;SIX2;SIX3;KLF11;PLAUR;PLA2G4A;DCN;TGFBR2;CCNA2;VCAN;DBF4;ELF5;PECAM1;IRF7;LTA;MCM4;MET;LRP1;SEMA3F;AURKA;MUC1;ERBB2;E2F1;E2F2;CCL2;SNCG;E2F5;BUB1;PDLIM4;TCF7L2;CMA1;TRAT1;PLA2G2A;KLF4;RAD51;PRC1;SPRY2;VIM;TEK
