Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Neoplasm Metastasis,135/3920,2.8937325187063956E-50,1.5420700592186382E-46,0,0,9.067937346669183,1034.3497565148525,MAML2;PROS1;CIB1;IRS2;ANTXR2;NR3C1;ETS2;AQP1;MYLK;CDH5;RPS6KA3;ZFP36;CCND2;EFEMP1;CCND1;PLAU;KDR;LEPR;SIRPA;SVEP1;TNS1;HGF;LMO2;KRT8;TAP1;LIFR;KRT5;SOX10;RUNX2;CDC25B;MAP1B;ADAM12;TXNIP;S100A4;EZR;FKBP4;UTRN;S100A8;SKAP2;CFH;EPAS1;MAGED1;LPL;PIK3R1;FBLN2;FOXO1;SOCS3;GRK3;PPP4C;MAP3K20;FADD;A2M;ABCA1;STAT5A;STAT5B;EGR1;JUN;CAV2;CAV1;PLK1;ESR1;FLI1;EFNA1;CXCL10;RCAN1;NR4A1;TF;COL1A2;CXCL12;BCL6;BCL3;CALR;FGFR3;NRP1;ARF1;TINAGL1;FHL1;PKD2;SYNE1;AKAP12;GHR;MDK;TIMP1;CD36;TEAD1;CTSD;SREBF1;ANXA1;MME;VWF;DUSP1;BGN;FOS;DCN;TGFBR2;ACTA2;MMP14;ZEB2;VCAN;KIT;PECAM1;PPARG;CRYAB;TLR4;MET;YAP1;LRP1;LAMA4;LAMA3;NEDD9;CXCR4;EGFR;MUC1;RASD1;AGR2;S1PR1;SPP1;E2F2;SNCG;CCL2;DMD;CA12;TCF7L2;GSN;STAT1;GOLM1;KLF4;PER1;KRT19;KLF6;KRT18;FABP4;LEP;SAA1;VIM
Mammary Neoplasms,109/2387,4.6467801605231956E-49,1.2381345737714054E-45,0,0,9.421412435509168,1048.5136536934972,CIB1;IRS2;ANTXR2;NR3C1;ETS2;AQP1;MYLK;EPS8;CDH5;RPS6KA3;ZFP36;RGS2;CCND2;EFEMP1;CCND1;PPP2R1B;PLAU;KDR;LEPR;HGF;KRT8;LIFR;KRT5;RUNX2;CDC25B;ADAM12;MAPKAPK2;S100A4;EZR;UTRN;S100A8;EPAS1;LPL;PIK3R1;FOXO1;SOCS3;MAP3K20;FADD;ABCA1;STAT5A;STAT5B;EGR1;JUN;CAV2;CAV1;PLK1;ESR1;EFNA1;CXCL10;NR4A1;PTPRB;COL1A2;CXCL12;BCL3;FGFR3;NRP1;ARF1;THRB;SYNE1;AKAP12;GHR;MDK;TIMP1;CD36;CTSD;SREBF1;ANXA1;MME;VWF;DUSP1;FOS;DCN;TGFBR2;ACTA2;MMP14;ZEB2;F8;VCAN;KIT;PPARG;SGK1;CRYAB;TLR4;MET;YAP1;LRP1;LAMA3;NEDD9;CXCR4;EGFR;DEPP1;MUC1;AGR2;SPP1;E2F2;SNCG;CCL2;MEST;CA12;TCF7L2;GSN;STAT1;KLF4;PER1;KRT19;KLF6;KRT18;LEP;VIM
Breast Carcinoma,145/4963,8.76543927839853E-47,1.5570341971528588E-43,0,0,8.508501922820868,902.3324379780418,PROS1;UBE2L6;CIB1;IRS2;ANTXR2;NR3C1;ETS2;AQP1;MYLK;EPS8;RGS4;CDH5;RPS6KA3;ZFP36;RGS2;CCND2;EFEMP1;CCND1;PPP2R1B;PLAU;DPYSL2;KDR;LEPR;SIRPA;SVEP1;TNS1;HGF;LMO2;KRT8;LIFR;KRT5;SOX10;RUNX2;CDC25B;MAF;ADAM12;TXNIP;S100A4;PRTN3;EZR;FKBP4;UTRN;S100A8;EPAS1;PIK3R1;FBLN2;FOXO1;C3;SOCS3;GRK3;PPP4C;MAP3K20;FADD;A2M;ABCA1;STAT5A;STAT5B;EGR1;JUN;CAV2;CAV1;PLK1;ESR1;FLI1;EFNA1;CXCL10;NR4A1;TF;CXCL12;BCL6;BCL3;CALR;BMPR1B;FGFR3;NRP1;ARF1;TINAGL1;THRB;FHL1;PKD2;PRSS23;SYNE1;AKAP12;GHR;ALDH2;MDK;ELOB;TIMP1;CD36;TEAD1;CTSD;SREBF1;ANXA1;MME;DST;VWF;DUSP1;BGN;FOS;DCN;TGFBR2;ACTA2;MMP14;ZEB2;F8;VCAN;DNAJC1;KIT;PECAM1;PPARG;SGK1;CRYAB;TLR4;MET;RHOQ;YAP1;LRP1;NEDD9;CXCR4;EGFR;DEPP1;MUC1;RASD1;AGR2;S1PR1;SPP1;E2F2;SNCG;CCL2;MEST;CA12;TCF7L2;GSN;STAT1;SORBS1;KLF4;PER1;KRT19;KLF6;KRT18;FABP4;LEP;KRT15;TACC1;VIM
Glioblastoma,97/1937,6.465147030183754E-46,8.613192130962307E-43,0,0,9.375344382264313,975.5279137372901,ITSN1;CIB1;IRS2;ETS2;AQP1;EPS8;CDH5;ZFP36;CCND2;EFEMP1;CCND1;PLAU;KDR;LEPR;SIRPA;TNS2;TNS1;TPM3;HGF;LMO2;TAP1;LIFR;RUNX2;CDC25B;ADAM12;MAPKAPK2;S100A4;EZR;CFH;EPAS1;DTX1;PIK3R1;FOXO1;SOCS3;GRK3;MAP3K20;FADD;STAT5A;STAT5B;EGR1;JUN;CAV2;ZBTB16;CAV1;PLK1;ESR1;CXCL10;RCAN1;NR4A1;TF;CXCL12;BCL6;AMOTL2;CALR;BMPR1B;FGFR3;NRP1;FHL1;LAMC1;PKD2;MDK;TIMP1;CD36;TEAD1;CTSD;SREBF1;ANXA1;DUSP1;FOS;DCN;TGFBR2;MMP14;ZEB2;KIT;PECAM1;PPARG;SGK1;CRYAB;TLR4;MET;YAP1;LRP1;LAMA3;NEDD9;CXCR4;EGFR;DEPP1;RASD1;S1PR1;SPP1;CCL2;GSN;STAT1;KLF4;KLF6;LEP;VIM
Malignant neoplasm of breast,140/5054,2.620295112811645E-41,2.792710531234651E-38,0,0,7.313095588957658,683.3554108134821,PROS1;UBE2L6;CIB1;IRS2;ANTXR2;NR3C1;ETS2;AQP1;MYLK;EPS8;RGS4;CDH5;RPS6KA3;ZFP36;RGS2;CCND2;EFEMP1;CCND1;PPP2R1B;PLAU;KDR;LEPR;SIRPA;TNS1;HGF;LMO2;KRT8;RFX2;ANK2;LIFR;KRT5;SOX10;RUNX2;CDC25B;ADAM12;TXNIP;S100A4;PRTN3;EZR;FKBP4;UTRN;S100A8;EPAS1;LPL;PIK3R1;FBLN2;FOXO1;C3;SOCS3;GRK3;PPP4C;MAP3K20;FADD;A2M;ABCA1;STAT5A;STAT5B;EGR1;JUN;CAV2;CAV1;PLK1;ESR1;FLI1;EFNA1;CXCL10;NR4A1;TF;CXCL12;BCL6;BCL3;CALR;BMPR1B;FGFR3;NRP1;ARF1;TINAGL1;THRB;PRSS23;SYNE1;AKAP12;GHR;ALDH2;MDK;TIMP1;CD36;CTSD;SREBF1;ANXA1;MME;DST;VWF;DUSP1;BGN;FOS;DCN;TGFBR2;ACTA2;MMP14;ZEB2;F8;VCAN;KIT;PECAM1;PPARG;SGK1;CRYAB;TLR4;MET;RHOQ;YAP1;LRP1;LAMA3;NEDD9;CXCR4;EGFR;DEPP1;MUC1;RASD1;AGR2;S1PR1;SPP1;E2F2;SNCG;CCL2;DMD;CA12;TCF7L2;GSN;STAT1;SORBS1;KLF4;PER1;KRT19;KLF6;KRT18;FABP4;LEP;TACC1;VIM
Liver carcinoma,120/3593,5.961370165304927E-41,5.294690268484992E-38,0,0,7.233382799176061,669.9608947876283,CIB1;IRS2;NR3C1;ETS2;RPS6KA3;ZFP36;CCND2;EFEMP1;CCND1;PPP2R1B;PLAU;KDR;LEPR;TNS1;MEF2C;TPM3;HGF;KRT8;TAP1;LIFR;KRT5;SOX10;RUNX2;CDC25B;ADAM12;SERPING1;TXNIP;S100A4;EZR;FKBP4;S100A8;EPAS1;LPL;PIK3R1;FOXO1;C3;SOCS3;FADD;A2M;SPTBN1;ABCA1;STAT5A;STAT5B;EGR1;JUN;CAV1;PLK1;ESR1;EFNA1;CXCL10;NR4A1;TF;COL1A2;CXCL12;CALR;FGFR3;NRP1;SNAP25;TINAGL1;THRB;LAMC1;MEOX2;PKD2;SYNE1;AKAP12;GHR;ALDH2;MDK;ELOB;TIMP1;CD36;TEAD1;CTSD;CCT3;SREBF1;ANXA1;MME;DUSP1;BGN;FOS;DCN;TGFBR2;MMP14;ZEB2;VCAN;KIT;PECAM1;PPARG;SGK1;CRYAB;TLR4;MET;MATN2;YAP1;LRP1;LAMA4;NEDD9;CXCR4;EGFR;MUC1;AGR2;S1PR1;SPP1;E2F2;SNCG;CCL2;MEST;TCF7L2;GSN;STAT1;GOLM1;SORBS1;KLF4;PER1;KRT19;KLF6;KRT18;LEP;SAA1;VIM
Malignant neoplasm of prostate,114/3239,2.078560350678553E-40,1.582378301252287E-37,0,0,7.242582857142857,661.7673123234872,PROS1;ITSN1;F13A1;CIB1;IRS2;ANTXR2;NR3C1;ETS2;AQP1;MYLK;RPS6KA3;ZFP36;RGS2;CCND2;EFEMP1;CCND1;PLAU;KDR;LEPR;TNS1;HGF;LMO2;KRT8;TAP1;LIFR;RUNX2;CDC25B;MAPKAPK2;TXNIP;S100A4;EZR;FKBP4;S100A8;EPAS1;LPL;PIK3R1;FOXO1;SOCS3;GRK3;FADD;A2M;ABCA1;STAT5A;STAT5B;EGR1;JUN;FZD4;CAV2;ZBTB16;CAV1;PLK1;ESR1;FLI1;QKI;EFNA1;NR4A1;TF;CXCL12;BCL3;CALR;BMPR1B;FGFR3;NRP1;ARF1;LAMC1;AKAP12;GHR;MDK;TIMP1;TEAD1;CTSD;SREBF1;ANXA1;MME;DST;DUSP1;BGN;FOS;DCN;TGFBR2;MMP14;ZEB2;VCAN;KIT;PECAM1;PPARG;SGK1;CRYAB;TLR4;MET;YAP1;LRP1;LAMA3;NEDD9;CXCR4;EGFR;MUC1;RASD1;AGR2;SPP1;E2F2;CCL2;TCF7L2;GSN;STAT1;GOLM1;KLF4;PER1;KRT19;KLF6;KRT18;FABP4;LEP;VIM
Carcinogenesis,126/4065,2.575120862389043E-40,1.7153523844589013E-37,0,0,7.0475374460522975,642.4359458324366,MAML2;ITSN1;CIB1;IRS2;NR3C1;ETS2;AQP1;EPS8;RGS4;RPS6KA3;ZFP36;RGS2;CCND2;EFEMP1;CCND1;PPP2R1B;PLAU;DPYSL2;KDR;LEPR;TNS1;HGF;LMO2;KRT8;TAP1;LIFR;KRT5;SOX10;RUNX2;CDC25B;MAF;MAPKAPK2;TXNIP;S100A4;EZR;FKBP4;S100A8;COL17A1;CFH;EPAS1;MAGED1;PIK3R1;FOXO1;SOCS3;PRKAR2B;MAP3K20;FADD;SPTBN1;ABCA1;STAT5A;STAT5B;EGR1;JUN;FZD4;CAV2;ZBTB16;CAV1;PLK1;ESR1;FLI1;QKI;EFNA1;CXCL10;RCAN1;NR4A1;PTPRB;COL1A2;CXCL12;BCL6;BCL3;CALR;FGFR3;NRP1;THRB;FHL1;AKAP12;ALDH2;MDK;ELOB;TIMP1;CD36;TEAD1;CTSD;SREBF1;ANXA1;MME;DUSP1;BGN;FOS;DCN;TGFBR2;MMP14;ZEB2;VCAN;KIT;PECAM1;PPARG;SGK1;CRYAB;TLR4;MET;YAP1;PPP1R15A;LRP1;NEDD9;CXCR4;EGFR;MUC1;RASD1;AGR2;SPP1;E2F2;SNCG;CCL2;TCF7L2;GSN;STAT1;GOLM1;SORBS2;KLF4;PER1;KRT19;KLF6;FABP4;LEP;VIM
Glioma,95/2211,4.458524080380114E-39,2.639941647149514E-36,0,0,7.709040688604621,680.7545535172288,NRP1;MAML2;ITSN1;CIB1;NR3C1;PKD2;AQP1;MYLK;AKAP12;RGS4;CDH5;ZFP36;CCND2;EFEMP1;CCND1;PLAU;MDK;KDR;LEPR;TIMP1;TEAD1;CTSD;ANXA1;MME;DUSP1;TPM3;HGF;LMO2;TAP1;FOS;SOX10;RUNX2;DCN;CDC25B;TGFBR2;MMP14;ZEB2;VCAN;MAP1B;KIT;MAPKAPK2;PECAM1;SERPING1;PPARG;S100A4;EZR;SGK1;CRYAB;TLR4;MET;ARHGEF6;YAP1;PPP1R15A;LRP1;CFH;EPAS1;MAGED1;LAMA4;NEDD9;CXCR4;DTX1;PIK3R1;EGFR;FOXO1;SOCS3;PPP4C;SPP1;E2F2;CCL2;DMD;FADD;ABCA1;EGR1;TCF7L2;JUN;GSN;FZD4;STAT1;CAV2;ZBTB16;CAV1;PLK1;KLF4;ESR1;QKI;EFNA1;PER1;CXCL10;KLF6;CXCL12;BCL6;LEP;VIM;CALR;FGFR3
Prostatic Neoplasms,80/1554,1.888541254398011E-37,9.753625653660198E-35,0,0,8.429961134236368,712.836196184493,NRP1;PROS1;ITSN1;CIB1;LAMC1;ANTXR2;NR3C1;AKAP12;GHR;RPS6KA3;ZFP36;RGS2;CCND2;CCND1;PLAU;KDR;LEPR;TIMP1;TEAD1;CTSD;SREBF1;ANXA1;MME;TPM3;HGF;KRT8;TAP1;LIFR;FOS;RUNX2;DCN;CDC25B;TGFBR2;MMP14;VCAN;MAPKAPK2;PECAM1;TXNIP;PPARG;EZR;FKBP4;CRYAB;TLR4;MET;YAP1;EPAS1;CXCR4;LPL;PIK3R1;EGFR;FOXO1;SOCS3;MUC1;GRK3;RASD1;AGR2;SPP1;CCL2;A2M;STAT5A;STAT5B;EGR1;TCF7L2;JUN;STAT1;GOLM1;CAV2;ZBTB16;CAV1;PLK1;ESR1;CXCL10;NR4A1;KLF6;CXCL12;LEP;VIM;CALR;BMPR1B;FGFR3
