Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
"positive regulation of transcription, DNA-templated (GO:0045893)",94/1183,5.884401487523454E-28,2.005404026947993E-24,0,0,4.541148339128137,284.73035311861406,RET;CALCOCO1;MAML2;PTPRN;SIX1;FHL5;BRCA1;FGF1;BRCA2;PKD2;FGF2;ETS2;HOXA10;RPS6KA3;FGF7;MECOM;CHEK1;TNFSF11;CAPN3;TEAD1;MEF2C;PARP1;HGF;LMO2;IL18;PAX3;MITF;FOS;PROX1;SOX10;PAX2;RUNX2;DCN;ACTA2;NR5A2;MYCN;TAL1;IRF7;RARB;HOXB2;PPARG;PRKD1;ERG;PPARA;ZFPM2;MET;ATF3;SKAP1;PRKN;YAP1;BLM;HLF;EPAS1;GATA4;GATA3;ASCL1;FOXO1;ERBB2;E2F1;E2F2;TNNI2;FADD;OTX1;NKX2-5;ZNF423;E2F5;PPARGC1A;RXRG;NFE2;STAT5B;EGR1;ARNT2;TCF7L2;JUN;EGR2;STAT1;HMGA1;HMGA2;INHBA;KLF4;HNRNPAB;ESR1;FLI1;AGT;KLF1;COL1A1;CXCL10;NR4A1;BMP2;IL6;WT1;BCL3;CAMK1;BMPR1B
positive regulation of transcription by RNA polymerase II (GO:0045944),77/908,1.4791732647343844E-24,2.5205112431073912E-21,0,0,4.714552922094909,258.6901538228698,CALCOCO1;MAML2;PTPRN;SIX1;FHL5;BRCA1;FGF1;PKD2;FGF2;HOXA10;RPS6KA3;TNFSF11;TEAD1;MEF2C;PARP1;HGF;LMO2;IL18;PAX3;MITF;FOS;PROX1;PAX2;RUNX2;DCN;NR5A2;MYCN;TAL1;IRF7;RARB;HOXB2;PPARG;PRKD1;ERG;PPARA;ZFPM2;MET;ATF3;SKAP1;PRKN;YAP1;HLF;EPAS1;GATA4;GATA3;ASCL1;FOXO1;MUC1;TERT;E2F1;E2F2;FADD;OTX1;NKX2-5;E2F5;PPARGC1A;RXRG;NGFR;STAT5B;EGR1;ARNT2;TCF7L2;JUN;EGR2;STAT1;HMGA1;HMGA2;INHBA;KLF4;ESR1;CXCL10;NR4A1;BMP2;IL6;WT1;CAMK1;BMPR1B
positive regulation of nucleic acid-templated transcription (GO:1903508),56/511,3.261765122738603E-23,3.705365179431053E-20,0,0,6.043108562388768,312.8951720147918,RET;CALCOCO1;SIX1;BRCA1;BRCA2;FGF2;ETS2;FGF7;MECOM;CAPN3;TEAD1;MEF2C;PAX3;MITF;FOS;SOX10;PAX2;RUNX2;ACTA2;NR5A2;MYCN;TAL1;IRF7;PPARG;PPARA;SKAP1;YAP1;BLM;GATA4;GATA3;FOXO1;E2F1;TNNI2;NKX2-5;ZNF423;PPARGC1A;NFE2;EGR1;ARNT2;JUN;EGR2;STAT1;HMGA1;HMGA2;INHBA;KLF4;HNRNPAB;ESR1;FLI1;AGT;KLF1;COL1A1;BMP2;IL6;WT1;BCL3
cellular response to cytokine stimulus (GO:0071345),49/482,5.177204105176603E-19,4.410977897610466E-16,0,0,5.4644481769193085,230.07977958894287,F13A1;CIB1;BRCA1;FGF2;ZFP36;CCND1;LEPR;TNFSF11;SIRPA;CTSG;TIMP1;CD36;ANXA1;DUSP1;HGF;IL18;LIFR;FOS;SIGIRR;KIT;PRTN3;CCL14;OPRD1;CCL13;CXCR4;GATA3;PTGS2;IL2RG;FOXO1;SOCS3;MUC1;S1PR1;NDN;CCL2;CCL19;CCL16;STAT5A;STAT5B;EGR1;CCL21;STAT1;CXCL10;IL6;COL1A2;CXCL12;SAA1;SDC1;VIM;TDGF1
positive regulation of cell population proliferation (GO:0008284),46/474,4.1043861726584934E-17,2.7975496152840293E-14,0,0,5.15214437964069,194.40014695868535,CCL14;YAP1;FLT4;PDGFA;IRS2;CIB1;LAMC1;FGF1;FGF2;AQP1;FGF7;CCND2;TERT;GRK5;MDK;SIX2;CXCR2;ERBB2;E2F1;KDR;TIMP1;NKX2-5;TCF7L2;MEF2C;CR1;STAT1;IL18;HMGA2;CDC7;LIFR;PROX1;MAPK15;PAX2;AGT;CDC25B;TGFBR2;BMP2;IL6;PRC1;PRTN3;CALR;ZFPM2;FGFR4;TDGF1;FGFR3;EZH2
cytokine-mediated signaling pathway (GO:0019221),52/621,1.7451041998050986E-16,9.91219185489296E-14,0,0,4.4150131698395025,160.19675384095558,F13A1;IRS2;FGF2;LMNB1;CCND1;CFL1;LEPR;TNFSF11;CTSG;TIMP1;CD36;TNFRSF4;ANXA1;CISH;HGF;IL18;LIFR;FOS;KIT;IRF7;LTA;PRTN3;CCL14;YAP1;OPRD1;CCL13;PELI2;GATA3;PTGS2;IL2RG;FOXO1;SOCS3;MUC1;CXCR2;S1PR1;NDN;CCL2;CCL19;CCL16;STAT5A;STAT5B;EGR1;CCL21;STAT1;MX1;CXCL10;IL6;COL1A2;CXCL12;SAA1;SDC1;VIM
regulation of cell population proliferation (GO:0042127),57/764,9.631504170310017E-16,4.689166601773791E-13,0,0,3.916417562227504,135.4153150235067,ALK;FLT4;SIX1;IRS2;CIB1;FGF1;PKD2;FGF2;ADRA1A;FGF7;CCND2;SIX3;KDR;TIMP1;TNS2;KLF11;CR1;LIFR;PROX1;SSTR2;CDC25B;TGFBR2;KIT;PRTN3;SGK1;CCL14;YAP1;PDGFA;GATA3;GRK5;CXCR2;ERBB2;NKX2-5;STAT5A;STAT5B;TCF7L2;JUN;CDKN2C;STAT1;CDKN2A;HMGA1;CDC7;INHBA;KLF4;MAPK15;AGT;CXCL10;BMP2;IL6;WT1;PRC1;CALR;FGFR4;TDGF1;FGFR3;EZH2;CDKN3
regulation of transcription by RNA polymerase II (GO:0006357),107/2206,3.006994742115281E-15,1.2809797601411098E-12,0,0,2.6326878677082073,88.0313831573368,MAML2;FGF1;FGF2;ETS2;HOXA10;RPS6KA3;ZFP36;CCND1;RUVBL1;TNFSF11;ZNF205;PITX1;SOX5;MEF2C;HGF;LMO2;RFX2;MITF;SOX10;RUNX2;SAP30;MYCN;HOXB2;PRKD1;ERG;EZR;ZFPM2;ATF3;SKAP1;EPAS1;GATA4;GATA3;FOXO1;FADD;OTX1;NKX2-5;PPARGC1A;STAT5A;NFE2;STAT5B;EGR1;JUN;EGR2;CBX4;CAV1;CBX2;HMGA1;HMGA2;INHBA;ESR1;FLI1;CXCL10;NR4A1;BMP2;IL6;MRGBP;CALR;BMPR1B;EZH2;CALCOCO1;PTPRN;SIX1;FHL5;BRCA1;PKD2;MECOM;SIX2;SIX3;TEAD1;KLF11;PARP1;IL18;PAX3;FOS;PROX1;PAX2;DCN;NR5A2;TAL1;ELF5;KIT;IRF7;RARB;PPARG;PPARA;MET;PRKN;YAP1;HLF;SATB1;ASCL1;HOXD10;MUC1;ERBB2;E2F1;E2F2;E2F5;RXRG;ARNT2;TCF7L2;STAT1;CDKN2A;KLF4;KLF1;PER2;WT1;CAMK1
regulation of apoptotic process (GO:0042981),55/742,4.260185595001018E-15,1.6131902786403856E-12,0,0,3.8731758295077072,128.1613108928923,ALK;FLT4;ITSN1;CIB1;AQP1;RPS6KA3;CCND2;CFL1;KDR;CTLA4;CAPN3;VAV3;KLF11;MEF2C;ANXA1;HGF;PLAUR;PAX2;VAV2;MELK;BIN1;SGK1;CRYAB;ARHGEF6;PRKN;MAGED1;ASCL1;FOXO1;GRK5;E2F1;PMAIP1;BAK1;FADD;NKX2-5;ECT2;BARD1;NGFR;JUN;CBX4;STAT1;SIAH2;HMGA2;AGT;GADD45G;CXCL10;BMP2;IL6;PROC;WT1;BCL3;SPRY2;CALR;TEK;TDGF1;MAD2L1
negative regulation of apoptotic process (GO:0043066),43/485,1.1698546629153596E-14,3.9868646912155456E-12,0,0,4.625396771797123,148.37954515124488,PRKN;YAP1;FLT4;SIX1;GATA4;CIB1;ASCL1;FOXO1;AQP1;RPS6KA3;CCND2;GRK5;MDK;CFL1;KDR;CCL2;CAPN3;CTSG;NKX2-5;PPARGC1A;BARD1;NGFR;MEF2C;ANXA1;CBX4;SIAH2;HGF;CAV1;PLAUR;HMGA2;PRKCA;KLF4;MAPK8IP2;PAX2;IL6;PROC;WT1;BCL3;SPRY2;TEK;CRYAB;TDGF1;MAD2L1
