Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
cellular response to cytokine stimulus (GO:0071345),36/482,1.8632506522352762E-21,4.537015338192898E-18,0,0,9.644245142002989,460.3387650889875,CCL11;CXCR4;F13A1;CIB1;PIK3R1;FOXO1;GHR;SOCS3;ZFP36;MUC1;CCND1;LEPR;S1PR1;SIRPA;CCL2;CD36;TIMP1;STAT5A;STAT5B;EGR1;ANXA1;MME;DUSP1;STAT1;HGF;LIFR;FOS;CXCL10;COL1A2;CXCL12;BCL6;KIT;SAA1;PRTN3;VIM;TLR4
"positive regulation of transcription, DNA-templated (GO:0045893)",47/1183,1.2131991765049808E-16,1.4770699973948142E-13,0,0,5.114389982277773,187.43267893539814,YAP1;CALCOCO1;THRB;MAML2;EPAS1;PIK3R1;MEOX2;NR3C1;PKD2;EGFR;ETS2;FOXO1;RPS6KA3;SPP1;E2F2;FADD;TEAD1;STAT5B;EGR1;SREBF1;TCF7L2;MEF2C;JUN;FZD4;STAT1;HGF;ZBTB16;LMO2;FOS;KLF4;SOX10;ESR1;RUNX2;FLI1;DCN;ACTA2;PER1;NR4A1;CXCL10;ZEB2;KLF6;BCL3;PPARG;BMPR1B;TLR4;MET;RHOQ
positive regulation of transcription by RNA polymerase II (GO:0045944),40/908,1.14388939595163E-15,9.284568930474063E-13,0,0,5.522370646911276,189.99352942799482,YAP1;CALCOCO1;THRB;MAML2;EPAS1;PIK3R1;MEOX2;NR3C1;PKD2;EGFR;FOXO1;RPS6KA3;MUC1;E2F2;FADD;TEAD1;STAT5B;EGR1;SREBF1;TCF7L2;MEF2C;JUN;STAT1;HGF;LMO2;FOS;KLF4;ESR1;RUNX2;DCN;PER1;NR4A1;CXCL10;ZEB2;KLF6;PPARG;BMPR1B;TLR4;MET;RHOQ
cytokine-mediated signaling pathway (GO:0019221),33/621,2.6051507743986048E-15,1.5858855339151508E-12,0,0,6.535374149659864,219.46626740762525,YAP1;ARF1;CCL11;F13A1;IRS2;PIK3R1;FOXO1;GHR;SOCS3;MUC1;CCND1;LEPR;S1PR1;CCL2;CD36;TIMP1;STAT5A;STAT5B;EGR1;ANXA1;STAT1;HGF;LIFR;FOS;CXCL10;COL1A2;CXCL12;BCL6;LEP;KIT;SAA1;PRTN3;VIM
cellular response to growth factor stimulus (GO:0071363),17/158,3.414713208753101E-13,1.6629653326627602E-10,0,0,13.096547940911407,375.9431232347407,STAT5B;NRP1;MEF2C;ANXA1;HGF;CIB1;NR3C1;KLF4;RUNX2;EGFR;TGFBR2;NR4A1;ZFP36;MAPKAPK2;KDR;CCL2;BMPR1B
regulation of transcription by RNA polymerase II (GO:0006357),56/2206,1.6612858360160016E-11,6.742051684498273E-9,0,0,3.237838191942352,80.36587704929238,CALCOCO1;THRB;MAML2;MEOX2;NR3C1;PKD2;ETS2;RPS6KA3;ZFP36;CCND1;TEAD1;SREBF1;MEF2C;HGF;LMO2;RFX2;FOS;SOX10;RUNX2;DCN;ZEB2;MAF;KIT;PPARG;EZR;TLR4;MET;RHOQ;YAP1;EPAS1;PIK3R1;EGFR;FOXO1;MUC1;E2F2;FADD;STAT5A;STAT5B;EGR1;TCF7L2;JUN;STAT1;ZBTB16;CAV1;PLK1;KLF4;ESR1;FLI1;EFNA1;PER1;NR4A1;CXCL10;KLF6;BCL6;CALR;BMPR1B
cellular response to oxygen-containing compound (GO:1901701),19/323,5.702825317180006E-10,1.9837685210476161E-7,0,0,6.807960893854749,144.90669335961238,EGR1;MEF2C;JUN;FZD4;LPL;FOS;PKD2;ESR1;EGFR;FOXO1;AQP1;CXCL10;ZFP36;GNG2;SIRPA;CCL2;VIM;EZR;TLR4
positive regulation of cellular process (GO:0048522),26/625,6.560276814009289E-10,1.996784255264077E-7,0,0,4.846041852700237,102.46867362870586,LRP1;IRS2;CIB1;EGFR;RPS6KA3;ZFP36;CCND2;CCND1;MDK;KDR;SIRPA;CD36;TIMP1;CAV1;LIFR;CDC25B;TGFBR2;MMP14;CXCL12;SAA1;PRTN3;CALR;BMPR1B;TLR4;FGFR3;S100A8
extracellular matrix organization (GO:0030198),18/300,1.2072729311675645E-9,3.266343985992244E-7,0,0,6.921985815602837,142.1422989623002,COL17A1;GSN;DST;VWF;LAMA4;LAMA3;BGN;LAMC1;DCN;MMP14;VCAN;COL1A2;ADAM12;KDR;SPP1;PECAM1;TIMP1;A2M
positive regulation of nucleic acid-templated transcription (GO:1903508),23/511,1.5494495723387639E-9,3.77290970864489E-7,0,0,5.201662763466042,105.51763340087766,YAP1;EGR1;MEF2C;JUN;CALCOCO1;FZD4;STAT1;ZBTB16;FOS;KLF4;SOX10;ESR1;RUNX2;FLI1;EGFR;ETS2;FOXO1;ACTA2;KLF6;BCL3;SPP1;PPARG;TEAD1
